iter	Passed	Remaining
0	600	59496
1	1279	62685
2	1916	61980
3	2564	61551
4	3177	60369
5	3822	59891
6	4467	59358
7	5166	59419
8	5857	59228
9	6536	58832
10	7240	58580
11	7933	58181
12	8662	57974
13	9441	57999
14	10118	57340
15	10844	56936
16	11546	56372
17	12229	55710
18	12994	55396
19	13719	54879
20	14331	53913
21	15014	53232
22	15645	52377
23	16366	51826
24	17097	51291
25	17720	50435
26	18438	49851
27	19110	49141
28	19757	48371
29	20430	47671
30	21112	46992
31	21825	46380
32	22555	45794
33	23163	44964
34	23882	44352
35	24567	43676
36	25252	42996
37	25889	42240
38	26479	41416
39	27230	40846
40	27915	40171
41	28662	39581
42	29355	38913
43	29978	38154
44	30713	37539
45	31410	36873
46	32029	36117
47	32749	35478
48	33349	34710
49	34071	34071
50	34783	33419
51	35472	32744
52	36086	32000
53	36730	31288
54	37445	30637
55	38097	29933
56	38738	29223
57	39439	28559
58	40077	27850
59	40839	27226
60	41472	26515
61	42174	25848
62	42765	25116
63	43429	24429
64	44095	23743
65	44768	23062
66	45357	22340
67	45990	21642
68	46651	20959
69	47313	20277
70	47925	19575
71	48581	18892
72	49206	18199
73	49910	17536
74	50532	16844
75	51165	16157
76	51757	15459
77	52391	14777
78	53157	14130
79	53883	13470
80	54544	12794
81	55196	12116
82	55815	11432
83	56708	10801
84	57374	10124
85	58089	9456
86	58733	8776
87	59391	8098
88	60081	7425
89	60713	6745
90	61340	6066
91	61993	5390
92	62684	4718
93	63356	4044
94	64104	3373
95	64750	2697
96	65404	2022
97	66098	1348
98	66712	673
99	67339	0
